"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Dtes Empleo","Dtes Empleo hombre edad < 25","Dtes Empleo hombre edad 25 -45","Dtes Empleo hombre edad >=45","Dtes Empleo mujer edad < 25","Dtes Empleo mujer edad 25 -45","Dtes Empleo mujer edad >=45","Dtes EmpleoAgricultura","Dtes Empleo Industria","Dtes Empleo Construcción","Dtes Empleo Servicios","Dtes Empleo Sin empleo Anterior"
202303,"2023","12","Galicia","15","Coruña, A",0,85198,2939,12356,20558,2811,17914,28494,2501,9204,5479,59602,8334
202304,"2023","12","Galicia","15","Coruña, A",0,83215,2840,11939,20301,2726,17186,28090,2425,8874,5544,57894,8395
202305,"2023","12","Galicia","15","Coruña, A",0,80145,2688,11233,19698,2536,16319,27552,2329,8347,5316,55718,8327
202306,"2023","12","Galicia","15","Coruña, A",0,77956,2626,10586,19183,2442,15700,27292,2119,8180,5108,54184,8251
202307,"2023","12","Galicia","15","Coruña, A",0,76863,2401,10174,18879,2250,15689,27322,2029,7926,4955,53874,7963
202308,"2023","12","Galicia","15","Coruña, A",0,77030,2385,10292,18798,2315,15911,27177,2027,7765,4896,54434,7802
202309,"2023","12","Galicia","15","Coruña, A",0,76426,2635,10368,18724,2494,15675,26377,2031,7762,4880,53683,7958
202310,"2023","12","Galicia","15","Coruña, A",0,78241,2841,10867,18981,2615,15957,26838,2185,7779,4879,55195,8116
202311,"2023","12","Galicia","15","Coruña, A",0,80530,2912,11631,19551,2648,16319,27324,2630,7901,5015,56732,8154
202312,"2023","12","Galicia","15","Coruña, A",0,81959,2866,11957,19976,2556,16455,27998,2860,8804,5191,57016,7998
202301,"2023","08","Castilla - La Mancha","16","Cuenca",0,15467,543,1891,3405,530,3190,5013,1746,1340,735,10248,714
202302,"2023","08","Castilla - La Mancha","16","Cuenca",0,15514,543,1908,3362,522,3206,5054,1884,1352,698,10145,755
202303,"2023","08","Castilla - La Mancha","16","Cuenca",0,15082,516,1824,3250,527,3100,4966,1892,1363,633,9730,759
202304,"2023","08","Castilla - La Mancha","16","Cuenca",0,14504,477,1788,3099,458,2946,4927,1959,1305,619,9247,728
202305,"2023","08","Castilla - La Mancha","16","Cuenca",0,13823,418,1586,2981,436,2817,4725,1711,1249,630,8867,690
202306,"2023","08","Castilla - La Mancha","16","Cuenca",0,13574,431,1520,2947,401,2714,4717,1670,1152,620,8775,692
202307,"2023","08","Castilla - La Mancha","16","Cuenca",0,13644,395,1605,2980,377,2788,4672,1831,1060,624,8811,669
202308,"2023","08","Castilla - La Mancha","16","Cuenca",0,13695,386,1622,2981,387,2820,4651,1769,1012,626,8934,670
202309,"2023","08","Castilla - La Mancha","16","Cuenca",0,13463,395,1557,2912,421,2710,4597,1518,999,655,8942,676
202310,"2023","08","Castilla - La Mancha","16","Cuenca",0,14414,473,1724,3109,451,2878,4872,1715,1115,686,9570,682
202311,"2023","08","Castilla - La Mancha","16","Cuenca",0,14737,521,1752,3174,442,2908,5021,1613,1127,727,9901,711
202312,"2023","08","Castilla - La Mancha","16","Cuenca",0,14647,488,1779,3226,380,2851,4955,1556,1136,774,9750,707
202301,"2023","09","Cataluña","17","Girona",0,59908,2604,9344,14165,2179,12369,18297,1861,5266,3440,45833,2812
202302,"2023","09","Cataluña","17","Girona",0,58353,2575,8992,13817,2180,11917,17959,1833,5328,3438,44076,2946
202303,"2023","09","Cataluña","17","Girona",0,52870,2296,7901,12689,1934,10730,16395,1659,5263,3374,38799,3063
202304,"2023","09","Cataluña","17","Girona",0,46817,1843,6672,11526,1519,9377,14875,1447,4788,3286,33593,2990
202305,"2023","09","Cataluña","17","Girona",0,44751,1597,6238,11143,1405,8894,14495,1288,4693,3178,31855,3002
202306,"2023","09","Cataluña","17","Girona",0,43453,1360,5842,10712,1227,8555,14802,1128,4531,3176,30947,2940
202307,"2023","09","Cataluña","17","Girona",0,44224,1333,5894,10780,1181,8830,15313,1140,4596,3368,31535,2868
202308,"2023","09","Cataluña","17","Girona",0,45536,1376,6252,11005,1248,9270,15480,1060,4705,3560,32712,2809
202309,"2023","09","Cataluña","17","Girona",0,45479,1821,6506,11191,1564,8969,14519,1037,4683,3456,32789,2815
