"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios","Total Contratos_min","Cod min_mes","Total Contratos_max","Cod max_mes"
"2018","09280",7,"Castilla y León",9,"Burgos","Quintanabureba",2.17,0,0.83,0,0.08,1.25,0,0,1.83,0,0.33,0,"01",8,"12"
"2018","09281",7,"Castilla y León",9,"Burgos","Quintana del Pidio",11.08,0,8.42,0.08,0.17,2.42,0,8.75,1.25,0.08,1,0,"11",95,"10"
"2018","09283",7,"Castilla y León",9,"Burgos","Quintanaélez",0.42,0,0.33,0,0,0.08,0,0,0,0.42,0,0,"01",4,"09"
"2018","09287",7,"Castilla y León",9,"Burgos","Quintanaortuño",3.83,0.42,2.42,0.5,0.08,0.33,0.08,0,3.17,0,0.67,1,"05",8,"07"
"2018","09288",7,"Castilla y León",9,"Burgos","Quintanapalla",2.33,0,0.58,0.08,0.08,1.33,0.25,0,0,0,2.33,0,"01",6,"05"
"2018","09289",7,"Castilla y León",9,"Burgos","Quintanar de la Sierra",32.5,0.08,10,0.42,0.5,21.08,0.42,0.33,1.67,2.08,28.42,6,"01",73,"07"
"2018","09292",7,"Castilla y León",9,"Burgos","Quintanavides",0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,"01",1,"05"
"2018","09294",7,"Castilla y León",9,"Burgos","Quintanilla de la Mata",0.67,0,0.25,0,0,0.33,0.08,0,0.25,0,0.42,0,"03",3,"06"
"2018","09295",7,"Castilla y León",9,"Burgos","Quintanilla del Coco",0.92,0.08,0.67,0,0,0.17,0,0,0,0,0.92,0,"01",11,"05"
"2018","09297",7,"Castilla y León",9,"Burgos","Quintanillas, Las",1.17,0.08,0.75,0.08,0.08,0.17,0,0,0.42,0.5,0.25,0,"01",4,"05"
"2018","09298",7,"Castilla y León",9,"Burgos","Quintanilla San García",0.25,0,0.08,0,0,0.17,0,0,0.08,0,0.17,0,"01",1,"05"
"2018","09301",7,"Castilla y León",9,"Burgos","Quintanilla Vivar",2,0.08,0.83,0,0.17,0.92,0,0.08,0.5,0.25,1.17,0,"12",5,"06"
"2018","09302",7,"Castilla y León",9,"Burgos","Rabanera del Pinar",0.42,0,0.25,0,0,0.17,0,0,0,0,0.42,0,"01",3,"05"
"2018","09303",7,"Castilla y León",9,"Burgos","Rábanos",0.25,0,0.25,0,0,0,0,0.17,0,0,0.08,0,"01",1,"03"
"2018","09304",7,"Castilla y León",9,"Burgos","Rabé de las Calzadas",3.08,0,0.83,0.08,0,1.92,0.25,0,0,0,3.08,1,"01",5,"11"
"2018","09306",7,"Castilla y León",9,"Burgos","Rebolledo de la Torre",1,0,0.92,0,0,0.08,0,0.42,0.08,0,0.5,0,"02",5,"10"
"2018","09307",7,"Castilla y León",9,"Burgos","Redecilla del Camino",3.08,0,1.92,0,0,1.17,0,1.5,0,0,1.58,0,"01",11,"04"
"2018","09308",7,"Castilla y León",9,"Burgos","Redecilla del Campo",0.17,0,0,0,0,0.17,0,0,0,0,0.17,0,"01",1,"04"
"2018","09309",7,"Castilla y León",9,"Burgos","Regumiel de la Sierra",6.92,1.75,3.33,0.75,0,1,0.08,2.25,1.42,0.17,3.08,2,"08",13,"01"
"2018","09310",7,"Castilla y León",9,"Burgos","Reinoso",0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,"01",1,"06"
"2018","09311",7,"Castilla y León",9,"Burgos","Retuerta",0,0,0,0,0,0,0,0,0,0,0,0,"01",0,"01"
"2018","09312",7,"Castilla y León",9,"Burgos","Revilla y Ahedo, La",1.08,0.08,0.42,0.17,0,0.33,0.08,0.08,0,0,1,0,"01",4,"11"
"2018","09314",7,"Castilla y León",9,"Burgos","Revilla del Campo",1.42,0.08,1.17,0,0,0.17,0,0.92,0,0.25,0.25,0,"02",5,"07"
