"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios"
202305,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,13008,3902,2753,223,2599,3071,140,1062,1692,817,9275
202306,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,15640,4034,3487,214,3398,3944,158,418,1730,747,12605
202307,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,16638,4065,3850,229,3592,4332,183,392,1472,828,13746
202308,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,11483,2824,2855,168,2557,2686,111,403,1054,511,9361
202309,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,12663,3472,2897,232,2627,2847,209,622,1712,872,9308
202310,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,15911,4904,4011,259,3103,3066,182,2707,2022,926,10058
202311,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,13028,4141,2631,190,2675,2971,140,2389,1198,755,8509
202312,"2023","10","Comunitat Valenciana","12","Castellón/Castelló",0,10626,2513,2776,177,1715,3034,149,1784,901,500,7299
202301,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,11346,3234,3327,228,1308,2746,162,3422,1244,861,5665
202302,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,10010,2651,3272,261,1152,2269,117,2386,1250,937,5264
202303,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,10486,2839,2651,438,1322,2550,323,1579,1441,1010,6243
202304,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,10003,2541,2599,205,1431,2799,108,1212,1188,810,6614
202305,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,13020,3523,3606,180,1774,3584,95,2813,1327,904,7789
202306,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,12986,3797,3365,164,1966,3284,100,3311,1332,803,7351
202307,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,13585,3839,3596,182,1829,3721,92,3144,1123,888,8249
202308,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,11389,3610,3127,144,1447,2641,131,3157,1282,701,6080
202309,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,18824,7116,4455,177,3072,3563,102,9094,1385,913,7254
202310,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,11419,3402,3092,172,1658,2708,127,2855,1041,894,6440
202311,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,11128,3804,3062,145,1359,2351,110,3968,1135,720,5106
202312,"2023","08","Castilla - La Mancha","13","Ciudad Real",0,9492,3185,2485,124,1000,2320,93,3558,658,403,4702
202301,"2023","01","Andalucía","14","Córdoba",0,38564,11419,12344,349,5666,8310,296,25519,1972,1843,9134
202302,"2023","01","Andalucía","14","Córdoba",0,28523,8498,9097,318,3790,6403,223,15346,1636,2146,9277
202303,"2023","01","Andalucía","14","Córdoba",0,26512,6826,8483,540,3090,6977,400,9277,2299,2898,11967
202304,"2023","01","Andalucía","14","Córdoba",0,21537,4826,7171,375,2455,6298,216,5931,1875,2655,10993
202305,"2023","01","Andalucía","14","Córdoba",0,27405,4599,10540,304,2670,8935,189,7982,2037,3263,14038
202306,"2023","01","Andalucía","14","Córdoba",0,23715,4390,8192,335,2539,7826,199,5300,1862,3237,13201
202307,"2023","01","Andalucía","14","Córdoba",0,20928,3562,7369,295,1878,7375,248,3387,1986,2954,12505
202308,"2023","01","Andalucía","14","Córdoba",0,19592,4162,6862,222,1963,6045,154,5911,1555,2611,9408
202309,"2023","01","Andalucía","14","Córdoba",0,23820,5502,7738,264,3124,6775,222,6750,1766,2673,12525
202310,"2023","01","Andalucía","14","Córdoba",0,26519,6242,8564,318,3425,7500,274,9189,2036,2127,13054
202311,"2023","01","Andalucía","14","Córdoba",0,36267,10905,11391,284,5020,8300,213,20627,2056,1892,11619
202312,"2023","01","Andalucía","14","Córdoba",0,33107,8925,11071,270,4246,8202,197,20664,1489,1383,9473
202301,"2023","12","Galicia","15","Coruña, A",0,21298,3565,6531,533,2879,6879,524,565,3057,1296,16116
202302,"2023","12","Galicia","15","Coruña, A",0,20231,3760,5610,514,3134,6401,417,486,2512,1311,15689
202303,"2023","12","Galicia","15","Coruña, A",0,25407,4810,7533,821,3678,7730,501,791,3381,1698,19296
202304,"2023","12","Galicia","15","Coruña, A",0,22198,3992,6523,481,3512,7077,289,615,2817,1020,17478
202305,"2023","12","Galicia","15","Coruña, A",0,27151,4355,8843,433,3629,9313,267,662,3298,1069,21843
202306,"2023","12","Galicia","15","Coruña, A",0,31393,4762,10681,382,3960,11020,319,691,3007,1215,26242
202307,"2023","12","Galicia","15","Coruña, A",0,32538,4418,11671,498,3568,11743,350,634,3150,1263,27244
202308,"2023","12","Galicia","15","Coruña, A",0,27350,3416,10480,323,2383,10125,287,571,2781,1001,22766
202309,"2023","12","Galicia","15","Coruña, A",0,28389,4380,9201,479,4020,9515,472,775,2964,1172,23293
202310,"2023","12","Galicia","15","Coruña, A",0,27763,4302,8742,518,4038,9362,433,651,2801,1050,23024
202311,"2023","12","Galicia","15","Coruña, A",0,24667,3759,7975,392,3229,8615,337,562,2807,991,20063
202312,"2023","12","Galicia","15","Coruña, A",0,21011,2504,7007,366,2242,8191,317,471,2455,525,17291
202301,"2023","08","Castilla - La Mancha","16","Cuenca",0,4029,1008,990,112,463,1006,67,636,751,342,2117
202302,"2023","08","Castilla - La Mancha","16","Cuenca",0,3874,920,1008,85,479,918,74,501,582,323,2218
202303,"2023","08","Castilla - La Mancha","16","Cuenca",0,4917,1004,1430,135,563,1275,88,492,1050,460,2684
202304,"2023","08","Castilla - La Mancha","16","Cuenca",0,4362,839,1182,66,565,1208,72,342,734,263,2847
202305,"2023","08","Castilla - La Mancha","16","Cuenca",0,6429,1832,1577,74,1001,1490,73,1808,1117,212,3100
202306,"2023","08","Castilla - La Mancha","16","Cuenca",0,8515,2973,1679,66,1714,1661,37,3580,1090,261,3350
202307,"2023","08","Castilla - La Mancha","16","Cuenca",0,8756,2665,1917,60,1683,1891,43,3176,1352,252,3767
202308,"2023","08","Castilla - La Mancha","16","Cuenca",0,5066,1110,1491,35,588,1379,26,639,1224,196,2792
202309,"2023","08","Castilla - La Mancha","16","Cuenca",0,7178,2093,2002,60,905,1704,37,2273,1681,233,2810
202310,"2023","08","Castilla - La Mancha","16","Cuenca",0,5427,1100,1669,87,628,1535,34,630,1443,254,2919
202311,"2023","08","Castilla - La Mancha","16","Cuenca",0,4723,1190,1174,79,633,1269,42,966,1071,178,2330
202312,"2023","08","Castilla - La Mancha","16","Cuenca",0,3938,814,1018,50,492,1224,22,567,1041,117,2050
202301,"2023","09","Cataluña","17","Girona",0,16120,3916,4118,284,2655,4362,239,240,4190,894,10467
202302,"2023","09","Cataluña","17","Girona",0,16808,4021,4090,304,3035,4628,157,165,3699,992,11620
202303,"2023","09","Cataluña","17","Girona",0,20742,5919,4340,280,4650,4674,308,156,4405,1180,14581
202304,"2023","09","Cataluña","17","Girona",0,20798,6111,4115,170,5429,4230,155,103,3894,844,15613
202305,"2023","09","Cataluña","17","Girona",0,22996,6634,4886,239,5742,4763,145,190,4391,945,17111
202306,"2023","09","Cataluña","17","Girona",0,28956,8690,5757,150,7748,5911,126,221,4492,878,23010
202307,"2023","09","Cataluña","17","Girona",0,27326,7420,6416,186,6809,5694,132,185,4266,725,21814
202308,"2023","09","Cataluña","17","Girona",0,18602,4684,4755,161,3285,4999,112,659,3484,470,13655
202309,"2023","09","Cataluña","17","Girona",0,20636,5300,4938,215,4319,5078,209,830,4402,919,14141
202310,"2023","09","Cataluña","17","Girona",0,19885,4921,4729,159,4023,5355,129,319,4185,1016,14008
202311,"2023","09","Cataluña","17","Girona",0,18252,4289,4695,133,3157,5221,120,250,3917,912,12823
202312,"2023","09","Cataluña","17","Girona",0,13892,2730,4027,123,2242,4145,83,86,3548,446,9549
202301,"2023","01","Andalucía","18","Granada",0,31961,8809,9842,405,4354,7630,366,13564,1363,2177,14496
202302,"2023","01","Andalucía","18","Granada",0,25882,6546,8059,435,3563,6440,257,8925,1168,2299,13143
202303,"2023","01","Andalucía","18","Granada",0,30493,7375,8519,606,5168,7960,357,8191,1712,2963,17231
202304,"2023","01","Andalucía","18","Granada",0,24170,5045,6909,361,3733,7292,301,5236,1309,2417,14900
202305,"2023","01","Andalucía","18","Granada",0,28679,5523,8917,340,4253,8768,336,5913,1533,2818,18068
202306,"2023","01","Andalucía","18","Granada",0,28328,5491,8554,315,3856,9266,276,4190,1747,2355,19681
202307,"2023","01","Andalucía","18","Granada",0,26719,4787,8190,335,3605,9010,236,3138,1605,2181,19447
202308,"2023","01","Andalucía","18","Granada",0,19949,3994,6135,215,2649,6279,146,3166,1148,1792,13504
202309,"2023","01","Andalucía","18","Granada",0,26921,5746,7291,395,4700,7868,322,3554,1594,2410,19055
202310,"2023","01","Andalucía","18","Granada",0,26523,5937,7133,304,4440,7825,261,4598,1579,2081,17859
202311,"2023","01","Andalucía","18","Granada",0,28560,6992,8773,351,3805,7854,258,8133,1586,2216,16261
202312,"2023","01","Andalucía","18","Granada",0,29516,7365,9252,398,4071,7579,287,11175,1236,1500,15251
202301,"2023","08","Castilla - La Mancha","19","Guadalajara",0,6264,1140,2090,87,709,1914,103,79,1079,422,4611
202302,"2023","08","Castilla - La Mancha","19","Guadalajara",0,6633,1188,2195,99,876,1991,97,66,1195,366,4898
202303,"2023","08","Castilla - La Mancha","19","Guadalajara",0,8149,1472,2687,89,1140,2361,121,46,1688,352,5952
