"Cod mes","anio","Cod CA","Comunidad Aut","Cod provincia","Provincia","mes","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcción","Paro Servicios","Paro Sin empleo Anterior"
202305,"2023","12","Galicia","15","Coruña, A",0,54119,932,7646,13554,912,11526,19335,1315,5142,4085,38460,4949
202306,"2023","12","Galicia","15","Coruña, A",0,51833,846,7137,13162,816,10968,18709,1263,4972,3924,36678,4823
202307,"2023","12","Galicia","15","Coruña, A",0,51245,838,6920,12908,842,10980,18554,1215,4815,3817,36405,4806
202308,"2023","12","Galicia","15","Coruña, A",0,51527,844,7006,12865,911,11148,18529,1211,4780,3797,36776,4784
202309,"2023","12","Galicia","15","Coruña, A",0,52429,986,7274,13026,1017,11345,18576,1207,4844,3817,37405,4966
202310,"2023","12","Galicia","15","Coruña, A",0,53249,1074,7505,13224,1073,11382,18816,1261,4821,3796,38100,5118
202311,"2023","12","Galicia","15","Coruña, A",0,52433,995,7517,13182,1004,11023,18512,1282,4779,3811,37518,4894
202312,"2023","12","Galicia","15","Coruña, A",0,51867,1040,7512,13200,947,10754,18217,1268,4862,3886,36920,4780
202301,"2023","08","Castilla - La Mancha","16","Cuenca",0,10948,342,1204,2231,329,2281,3719,835,866,546,7562,508
202302,"2023","08","Castilla - La Mancha","16","Cuenca",0,10880,368,1218,2177,325,2312,3665,843,854,508,7508,564
202303,"2023","08","Castilla - La Mancha","16","Cuenca",0,10440,339,1116,2046,348,2191,3568,821,826,470,7137,567
202304,"2023","08","Castilla - La Mancha","16","Cuenca",0,9877,300,1077,1931,265,2048,3464,769,804,451,6719,529
202305,"2023","08","Castilla - La Mancha","16","Cuenca",0,9359,254,992,1848,247,1906,3294,679,771,452,6350,496
202306,"2023","08","Castilla - La Mancha","16","Cuenca",0,9074,277,921,1826,235,1799,3260,659,711,427,6158,495
202307,"2023","08","Castilla - La Mancha","16","Cuenca",0,9026,266,917,1820,232,1854,3200,671,703,419,6169,477
202308,"2023","08","Castilla - La Mancha","16","Cuenca",0,9007,258,951,1815,235,1842,3189,637,682,415,6227,503
202309,"2023","08","Castilla - La Mancha","16","Cuenca",0,9241,281,974,1806,300,1869,3317,585,686,444,6475,504
202310,"2023","08","Castilla - La Mancha","16","Cuenca",0,9813,313,1038,1913,310,1976,3465,644,701,439,6912,515
202311,"2023","08","Castilla - La Mancha","16","Cuenca",0,10026,350,1054,1979,304,1975,3574,629,709,451,7097,522
202312,"2023","08","Castilla - La Mancha","16","Cuenca",0,9832,304,1036,1991,262,1871,3542,589,709,510,6894,518
202301,"2023","09","Cataluña","17","Girona",0,32891,1147,4706,7984,965,6897,10341,638,3425,2601,23403,2135
202302,"2023","09","Cataluña","17","Girona",0,32770,1221,4589,7960,1015,6803,10310,637,3463,2611,23145,2231
202303,"2023","09","Cataluña","17","Girona",0,31957,1148,4426,7787,995,6556,10200,644,3407,2555,22387,2283
202304,"2023","09","Cataluña","17","Girona",0,30451,976,4130,7573,810,6184,9923,611,3304,2515,21193,2196
202305,"2023","09","Cataluña","17","Girona",0,29947,833,4062,7518,772,6014,9906,579,3288,2448,20758,2200
202306,"2023","09","Cataluña","17","Girona",0,28938,748,3860,7371,733,5748,9695,542,3205,2438,19950,2122
202307,"2023","09","Cataluña","17","Girona",0,29018,773,3875,7384,750,5783,9676,556,3230,2570,19893,2116
202308,"2023","09","Cataluña","17","Girona",0,29760,802,4042,7509,744,6044,9776,528,3298,2674,20545,2071
202309,"2023","09","Cataluña","17","Girona",0,29733,991,4073,7425,866,5877,9717,513,3263,2625,20595,2100
202310,"2023","09","Cataluña","17","Girona",0,30343,1123,4170,7459,944,5972,9865,527,3291,2576,21140,2151
202311,"2023","09","Cataluña","17","Girona",0,30727,1130,4223,7533,908,6106,9995,563,3290,2589,21490,2142
202312,"2023","09","Cataluña","17","Girona",0,30837,1142,4297,7559,863,6117,10005,553,3324,2655,21460,2161
202301,"2023","01","Andalucía","18","Granada",0,80175,3256,12862,17445,3381,20463,22278,6452,3772,7582,53387,8532
202302,"2023","01","Andalucía","18","Granada",0,80924,3462,12923,17376,3597,20568,22522,6613,3820,7465,53526,9025
202303,"2023","01","Andalucía","18","Granada",0,79269,3420,12409,17088,3538,19919,22396,6411,3684,7300,52273,9104
202304,"2023","01","Andalucía","18","Granada",0,77457,3168,12093,16897,3131,19467,22175,6247,3587,7242,51177,8690
202305,"2023","01","Andalucía","18","Granada",0,76589,3090,11837,16775,3072,19201,22069,6320,3510,7214,50673,8372
202306,"2023","01","Andalucía","18","Granada",0,75988,3243,11816,16658,3130,18905,21711,6275,3403,7233,50333,8250
202307,"2023","01","Andalucía","18","Granada",0,75381,3242,11742,16635,3142,18567,21517,6202,3380,7347,49735,8254
202308,"2023","01","Andalucía","18","Granada",0,75971,3255,11905,16797,3178,18795,21512,6072,3421,7544,50237,8208
202309,"2023","01","Andalucía","18","Granada",0,77671,3521,12063,16879,3487,19306,21885,6048,3498,7450,51705,8501
202310,"2023","01","Andalucía","18","Granada",0,78864,3596,12310,16898,3641,19520,22384,6016,3546,7432,52814,8572
202311,"2023","01","Andalucía","18","Granada",0,78084,3497,11983,16650,3599,19382,22444,5794,3527,7272,52456,8584
202312,"2023","01","Andalucía","18","Granada",0,75471,3215,11678,16559,3265,18382,21834,5503,3487,7409,50392,8209
202301,"2023","08","Castilla - La Mancha","19","Guadalajara",0,14550,504,1969,2810,477,3465,4780,92,916,851,11471,825
