"Cod mes","Cod anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcci�n","Paro Servicios","Paro Sin empleo Anterior","total Paro Registrado_Min_value","Cod min_mes","total Paro Registrado_Max_value","Cod max_mes"
201101,"2011","45135",8,"Castilla - La Mancha",45,"Toledo","Puebla de Almoradiel, La",658.92,55.33,179.5,136.08,43.5,179.17,65.33,210.25,69.17,120.83,234.25,24.42,430,"201109",753,"201111"
201101,"2011","45136",8,"Castilla - La Mancha",45,"Toledo","Puebla de Montalb�n, La",973.83,75.5,235.58,178,71.08,265.33,148.33,62.17,185.67,216.83,435.17,74,852,"201108",1041,"201111"
201101,"2011","45137",8,"Castilla - La Mancha",45,"Toledo","Pueblanueva, La",315.83,15.67,65.92,43.5,17.42,115.83,57.5,40.17,32.92,52.83,176,13.92,276,"201101",340,"201110"
201101,"2011","45138",8,"Castilla - La Mancha",45,"Toledo","Puente del Arzobispo, El",201,17.67,34.67,38.5,13.33,53.17,43.67,2.33,20,22.17,141.5,15,186,"201102",219,"201112"
201101,"2011","45139",8,"Castilla - La Mancha",45,"Toledo","Puerto de San Vicente",20,2.08,3.83,7.5,2.25,2.5,1.83,0.17,1.08,3.58,13.67,1.5,17,"201108",24,"201102"
201101,"2011","45140",8,"Castilla - La Mancha",45,"Toledo","Pulgar",159,11.67,45.08,23.58,6.67,50.75,21.25,10.75,42.58,20.25,74.5,10.92,149,"201107",169,"201111"
201101,"2011","45141",8,"Castilla - La Mancha",45,"Toledo","Quero",133.83,14.42,32.42,22,7.33,34.5,23.17,17.67,34.08,19.25,55,7.83,123,"201110",151,"201102"
201101,"2011","45142",8,"Castilla - La Mancha",45,"Toledo","Quintanar de la Orden",1213.92,89.33,360.67,206.83,64.92,364.58,127.58,105.67,172.58,439.33,397.08,99.25,1020,"201109",1301,"201112"
201101,"2011","45143",8,"Castilla - La Mancha",45,"Toledo","Quismondo",194.42,19.17,55.58,36.5,11.25,50.08,21.83,9.58,12.08,58.42,107,7.33,174,"201109",203,"201106"
201101,"2011","45144",8,"Castilla - La Mancha",45,"Toledo","Real de San Vicente, El",107,3.08,35.42,25.33,3.83,26.33,13,0.67,12.67,32.5,50.08,11.08,93,"201108",121,"201103"
201101,"2011","45145",8,"Castilla - La Mancha",45,"Toledo","Recas",422.08,30.75,140.67,70.5,21.33,107.67,51.17,32.75,104.58,69.25,202.25,13.25,403,"201108",452,"201104"
201101,"2011","45146",8,"Castilla - La Mancha",45,"Toledo","Retamoso de la Jara",5.75,0.67,1.08,2.58,0,0.83,0.58,0.75,0.83,1.33,2.83,0,3,"201101",8,"201111"
201101,"2011","45147",8,"Castilla - La Mancha",45,"Toledo","Rielves",90.08,6.67,24,9.25,5.5,32.5,12.17,1.75,11.25,14.75,58.08,4.25,81,"201109",102,"201104"
201101,"2011","45148",8,"Castilla - La Mancha",45,"Toledo","Robledo del Mazo",20.75,1.33,2.08,7.92,1.58,2.58,5.25,1.25,0.08,1.17,17.58,0.67,13,"201106",27,"201101"
201101,"2011","45149",8,"Castilla - La Mancha",45,"Toledo","Romeral, El",61.92,9.08,12.42,11.17,1.25,15.25,12.75,4.33,10.25,10.17,35,2.17,57,"201112",67,"201103"
201101,"2011","45150",8,"Castilla - La Mancha",45,"Toledo","San Bartolom� de las Abiertas",72.58,2.75,13.83,13.92,4.92,24.75,12.42,2.92,3.42,13,51.42,1.83,65,"201102",84,"201111"
201101,"2011","45151",8,"Castilla - La Mancha",45,"Toledo","San Mart�n de Montalb�n",66.83,6.42,19.17,11.67,5.67,14.17,9.75,3.92,4.17,10.42,43.83,4.5,59,"201105",79,"201112"
201101,"2011","45152",8,"Castilla - La Mancha",45,"Toledo","San Mart�n de Pusa",82.83,7,18.58,17.67,8.25,13.75,17.58,5.67,9.92,14.58,47.92,4.75,76,"201101",90,"201105"
201101,"2011","45153",8,"Castilla - La Mancha",45,"Toledo","San Pablo de los Montes",274.17,19.17,50.58,44.25,21.17,78.92,60.08,11.5,67.33,46.33,137.17,11.83,255,"201107",295,"201103"
201101,"2011","45154",8,"Castilla - La Mancha",45,"Toledo","San Rom�n de los Montes",211.33,17.75,49.5,29.33,9.83,72,32.92,2.58,24.5,24.92,149.25,10.08,196,"201108",222,"201104"
201101,"2011","45155",8,"Castilla - La Mancha",45,"Toledo","Santa Ana de Pusa",36.33,2.25,9.42,6.75,1.92,6.92,9.08,5,4.17,1.75,23.83,1.58,27,"201101",41,"201106"
201101,"2011","45156",8,"Castilla - La Mancha",45,"Toledo","Santa Cruz de la Zarza",332.5,29.42,73.42,56,17.42,104.42,51.83,32.67,63.5,62.58,152.33,21.42,312,"201101",354,"201112"
201101,"2011","45157",8,"Castilla - La Mancha",45,"Toledo","Santa Cruz del Retamar",284.58,19.83,68.5,63.42,16.83,68,48,6.58,39.17,52.92,165.5,20.42,277,"201101",296,"201104"
