;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201301;Enero de 2013;1;Andalucía;11;Cádiz;11031;San Fernando;14367;750;3239;2252;741;4164;3221;75;1105;1876;8488;2823
201301;Enero de 2013;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;12764;756;3289;2366;675;2873;2805;1166;834;2675;5746;2343
201301;Enero de 2013;1;Andalucía;11;Cádiz;11033;San Roque;4696;277;1149;826;266;1248;930;57;397;982;2588;672
201301;Enero de 2013;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;306;17;96;83;26;63;21;66;7;67;139;27
201301;Enero de 2013;1;Andalucía;11;Cádiz;11035;Tarifa;2885;181;635;394;170;905;600;51;145;327;2055;307
201301;Enero de 2013;1;Andalucía;11;Cádiz;11036;Torre Alháquime;70;9;27;15;3;15;1;32;0;3;28;7
201301;Enero de 2013;1;Andalucía;11;Cádiz;11037;Trebujena;1146;74;367;219;59;317;110;136;51;236;593;130
201301;Enero de 2013;1;Andalucía;11;Cádiz;11038;Ubrique;3577;137;721;672;114;896;1037;58;1600;331;1254;334
201301;Enero de 2013;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;2935;197;715;508;166;771;578;143;95;566;1584;547
201301;Enero de 2013;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;46;2;7;15;4;11;7;1;4;14;24;3
201301;Enero de 2013;1;Andalucía;11;Cádiz;11041;Villamartín;2312;191;750;452;160;564;195;195;123;548;1235;211
201301;Enero de 2013;1;Andalucía;11;Cádiz;11042;Zahara;164;9;50;37;10;42;16;30;8;56;63;7
201301;Enero de 2013;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;1646;106;454;317;86;386;297;216;43;465;713;209
201301;Enero de 2013;1;Andalucía;11;Cádiz;11902;San José del Valle;740;66;212;140;60;160;102;85;43;185;332;95
201301;Enero de 2013;1;Andalucía;14;Córdoba;14001;Adamuz;340;22;94;72;44;89;19;120;21;35;138;26
201301;Enero de 2013;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;1269;124;388;265;151;274;67;227;121;261;512;148
201301;Enero de 2013;1;Andalucía;14;Córdoba;14003;Alcaracejos;204;19;43;42;18;37;45;10;8;22;152;12
