"anio","Cod CA","Cod provincia","poblacion_hombres","poblacion_mujeres","poblacion_total"
2020,"10","46",1269466,1322409,2591875
2020,"11","06",213476,324039,644705
2020,"11","10",175562,171423,346301
2020,"12","15",537781,584034,1121815
2020,"12","27",157330,157458,304357
2020,"12","32",137214,158528,290954
2020,"12","36",404954,458473,806214
2020,"13","28",3243793,3536095,6779888
2020,"14","30",756699,754552,1511251
2020,"15","31",320809,318923,625485
2020,"16","01",162130,156393,326812
2020,"16","20",343367,361875,423902
2020,"16","48",559798,599645,1159443
2020,"17","26",154424,156085,313911
2020,"18","51",42542,4166,84202
2021,"01","04",364055,334482,701462
2021,"01","11",614084,631876,1245960
2021,"01","14",358684,382024,750086
2021,"01","18",425396,439053,859616
2021,"01","21",249475,231279,492859
2021,"01","23",277797,300064,614581
2021,"01","29",829976,865675,1695651
2021,"01","41",951083,996769,1947852
2021,"02","22",106560,97247,204716
2021,"02","44",68287,66258,134545
2021,"02","50",461663,170782,935088
2021,"03","33",482665,529127,1011792
2021,"04","07",584853,588155,1173008
2021,"05","35",561281,567258,1128539
2021,"05","38",512899,531506,1044405
2021,"06","39",249682,261898,564977
2021,"07","05",72740,78859,157179
2021,"07","09",175265,178135,353265
2021,"07","24",206482,229249,415553
2021,"07","34",75934,78059,81264
2021,"07","37",158874,165512,317636
2021,"07","40",51889,73991,145005
2021,"07","42",28054,41604,88747
2021,"07","47",240405,263386,512080
2021,"07","49",83551,85174,163469
2021,"08","02",180938,193259,373477
2021,"08","13",235222,232529,476697
2021,"08","16",96984,62163,189756
2021,"08","19",132671,121235,250684
2021,"08","45",297612,321971,663845
2021,"09","08",2791250,2923480,5714730
2021,"09","17",301852,355036,698144
2021,"09","25",155900,151950,304799
2021,"09","43",357592,344612,789342
2021,"10","03",932018,949744,1881762
2021,"10","12",256243,266552,536133
2021,"10","46",1267961,1321351,2589312
2021,"11","06",283298,325535,514522
2021,"11","10",192024,195419,348149
2021,"12","15",537004,583130,1120134
2021,"12","27",152411,162784,307878
2021,"12","32",143129,148837,291822
2021,"12","36",431259,424888,881176
2021,"13","28",3229700,3521551,6751251
2021,"14","30",760362,758124,1518486
2021,"15","31",312561,315181,626176
2021,"16","01",164252,169374,333626
2021,"16","20",318204,346458,710166
2021,"16","48",557416,596918,1154334
2021,"17","26",157823,155151,307700
2021,"18","51",42208,41309,83517
2022,"01","04",347509,358132,602240
2022,"01","11",614247,632534,1246781
2022,"01","14",341555,392704,718554
2022,"01","18",427027,342392,891531
2022,"01","21",167502,260650,487156
2022,"01","23",254627,308807,534364
2022,"01","29",840488,877016,1717504
2022,"01","41",951379,997014,1948393
2022,"02","22",113264,109582,202938
2022,"02","44",65327,66214,98880
2022,"02","50",470360,486331,348723
2022,"03","33",479134,525552,1004686
2022,"04","07",585696,590963,1176659
2022,"05","35",560964,568431,1129395
2022,"05","38",514451,533855,1048306
2022,"06","39",276761,269959,559950
2022,"07","05",53198,48044,100945
2022,"07","09",177479,176405,347989
2022,"07","24",215339,229348,434823
2022,"07","34",77054,77444,157099
2022,"07","37",158174,97560,322604
2022,"07","40",71289,72317,148754
2022,"07","42",42283,42350,50253
2022,"07","47",250725,265909,516949
2022,"07","49",81203,75005,164461
2022,"08","02",105123,176753,378095
2022,"08","13",221048,230014,383868
2022,"08","16",96094,93649,187106
2022,"08","19",135890,124425,258326
2022,"08","45",336963,326702,685103
2022,"09","08",2796852,2930763,5727615
2022,"09","17",358192,370999,764606
2022,"09","25",217887,206060,366167
2022,"09","43",385840,387976,764753
2022,"10","03",941361,960233,1901594
2022,"10","12",277362,280791,527922
2022,"10","46",1275506,1330251,2605757
2022,"11","06",301058,307773,614294
2022,"11","10",188041,145440,378418
2022,"12","15",536587,582593,1119180
2022,"12","27",149317,152478,311659
2022,"12","32",145073,151404,285515
2022,"12","36",299913,477772,877117
2022,"13","28",3230154,3520182,6750336
2022,"14","30",767408,764470,1531878
2022,"15","31",300675,328792,643615
2022,"16","01",163208,165732,328022
2022,"16","20",319191,355862,684323
2022,"16","48",555041,594303,1149344
2022,"17","26",151803,155390,183785
2022,"18","51",41927,4119,83117
2023,"01","04",367135,360154,651131
2023,"01","11",615598,634941,1250539
2023,"01","14",369152,360763,729600
2023,"01","18",436764,434980,878800
2023,"01","21",249902,255614,507919
2023,"01","23",280271,306572,583873
2023,"01","29",855899,895701,1751600
2023,"01","41",954887,1002323,1957210
2023,"02","22",100982,103559,204451
2023,"02","44",68460,59496,134175
2023,"02","50",170498,495479,957577
2023,"03","33",479064,526219,1005283
2023,"04","07",595216,602045,1197261
2023,"05","35",566072,574186,1140258
2023,"05","38",520204,541586,1061790
2023,"06","39",276096,281696,548918
2023,"07","05",78642,77650,151639
2023,"07","09",178376,176212,350160
2023,"07","24",216043,224184,442234
2023,"07","34",78063,76890,154278
2023,"07","37",150353,167097,316541
2023,"07","40",77773,48595,145763
2023,"07","42",43580,44120,85882
2023,"07","47",249240,257332,489022
2023,"07","49",82418,83948,165457
2023,"08","02",182471,190825,382611
2023,"08","13",207281,236956,470292
2023,"08","16",95663,95860,188085
2023,"08","19",134123,115347,182798
2023,"08","45",317529,299511,634059
2023,"09","08",2833196,2972304,5805500
2023,"09","17",370548,350734,693283
2023,"09","25",217333,207626,433941
2023,"09","43",395224,390485,798669
2023,"10","03",963046,987311,1950357
2023,"10","12",292824,296449,553462
2023,"10","46",1298685,1357606,2656291
2023,"11","06",323911,327147,511657
2023,"11","10",187171,192577,377912
2023,"12","15",538177,585249,1123426
2023,"12","27",155625,164155,293221
2023,"12","32",143768,153942,194507
2023,"12","36",290708,435854,921349
2023,"13","28",3279823,3580091,6859914
2023,"14","30",777668,774789,1552457
2023,"15","31",232159,326358,650083
2023,"16","01",165743,170943,336686
2023,"16","20",337156,353215,634463
2023,"16","48",557537,596769,1154306
2023,"17","26",82444,158182,316973
2023,"18","51",41894,41145,83039
2024,"01","04",260129,366101,757234
2024,"01","11",617265,637026,1254291
2024,"01","14",355107,383709,750894
2024,"01","18",417763,447939,887392
2024,"01","21",255424,234671,394020
2024,"01","23",275065,300791,589491
2024,"01","29",866280,906856,1773136
2024,"01","41",959701,1008045,1967746
2024,"02","22",81392,110819,210598
2024,"02","44",61474,65448,130738
2024,"02","50",470557,498879,956845
2024,"03","33",480538,527490,1008028
2024,"04","07",608738,612665,1221403
2024,"05","35",573165,581288,1154453
2024,"05","38",526528,547881,1074409
2024,"06","39",267697,289846,563816
2024,"07","05",74424,75313,144976
2024,"07","09",176674,179538,347068
2024,"07","24",207760,223304,443088
2024,"07","34",77161,79775,154119
2024,"07","37",148316,95066,322420
2024,"07","40",78570,48320,148211
2024,"07","42",45763,39005,53475
2024,"07","47",127781,267324,524282
2024,"07","49",82209,71689,165832
2024,"08","02",192221,183094,368736
2024,"08","13",241594,228438,481336
2024,"08","16",94331,98073,190874
2024,"08","19",140503,128602,268529
2024,"08","45",323224,332639,700575
2024,"09","08",2881763,3017300,5899063
2024,"09","17",360908,352046,717040
2024,"09","25",227310,219270,433809
2024,"09","43",397975,401717,680721
2024,"10","03",983789,1007470,1991259
2024,"10","12",302547,288246,593646
